date,year,month,season,count,is_workday,is_weekend,is_holiday,temp,temp_feel,humidity,wind_speed,weather_type
2015-01-04,2015,1,3,9234,0,1,0,2.4791666666666665,0.6458333333333334,94.27083333333333,7.5,broken clouds
2015-01-05,2015,1,3,20372,1,0,0,8.041666666666666,6.708333333333333,80.3125,8.854166666666666,broken clouds
2015-01-06,2015,1,3,20613,1,0,0,7.854166666666667,5.333333333333333,78.89583333333333,16,clear
2015-01-07,2015,1,3,21064,1,0,0,7.456521739130435,4.5,78.1086956521739,19.76086956521739,scattered clouds
2015-01-08,2015,1,3,15601,1,0,0,9.75,7.791666666666667,79.3125,20.479166666666668,scattered clouds
2015-01-09,2015,1,3,22104,1,0,0,12.729166666666666,12.333333333333334,74.85416666666667,32.916666666666664,broken clouds
2015-01-10,2015,1,3,14709,0,1,0,10.479166666666666,8.708333333333334,66.125,34.3125,broken clouds
2015-01-11,2015,1,3,14575,0,1,0,6.645833333333333,2.4583333333333335,67.58333333333333,26.5625,clear
2015-01-12,2015,1,3,17199,1,0,0,11.125,9.75,76.58333333333333,28.1875,rain
2015-01-13,2015,1,3,24697,1,0,0,8.604166666666666,6.083333333333333,75.8125,21.208333333333332,rain
2015-01-14,2015,1,3,23565,1,0,0,6.5,2.4791666666666665,67.125,25.75,scattered clouds
2015-01-15,2015,1,3,22968,1,0,0,8.833333333333334,5.625,66.45833333333333,31.166666666666668,scattered clouds
2015-01-16,2015,1,3,22663,1,0,0,5.791666666666667,2.5416666666666665,66.22916666666667,17.458333333333332,clear
2015-01-17,2015,1,3,15268,0,1,0,3.7916666666666665,0.5625,75.10416666666667,13.583333333333334,clear
2015-01-18,2015,1,3,13199,0,1,0,3.3958333333333335,1.9166666666666667,84.33333333333333,6.979166666666667,rain
2015-01-19,2015,1,3,23034,1,0,0,2.4166666666666665,0.7916666666666666,80,6.1875,broken clouds
2015-01-20,2015,1,3,23247,1,0,0,2.0625,-0.16666666666666666,81.95833333333333,9.166666666666666,clear
2015-01-21,2015,1,3,22782,1,0,0,3.0416666666666665,-0.375,84.27083333333333,14.729166666666666,cloudy
2015-01-22,2015,1,3,23278,1,0,0,2.5833333333333335,1.0416666666666667,74.47916666666667,6.729166666666667,broken clouds
2015-01-23,2015,1,3,21892,1,0,0,2.7083333333333335,-0.020833333333333332,79.41666666666667,12.416666666666666,clear
2015-01-24,2015,1,3,17539,0,1,0,5.708333333333333,2.3333333333333335,72.72916666666667,18.0625,clear
2015-01-25,2015,1,3,15094,0,1,0,5.520833333333333,2.3125,77.375,16.166666666666668,broken clouds
2015-01-26,2015,1,3,22710,1,0,0,8.5625,5.729166666666667,75.20833333333333,18.958333333333332,broken clouds
2015-01-27,2015,1,3,25000,1,0,0,6.958333333333333,4.145833333333333,72.375,15.291666666666666,clear
2015-01-28,2015,1,3,21536,1,0,0,6.979166666666667,2.9166666666666665,71.02083333333333,29.145833333333332,clear
2015-01-29,2015,1,3,21275,1,0,0,3.7708333333333335,-1.25,73.52083333333333,26.5625,scattered clouds
2015-01-30,2015,1,3,21171,1,0,0,3.9791666666666665,0.1875,77.08333333333333,17.479166666666668,broken clouds
2015-01-31,2015,1,3,10250,0,1,0,3.4166666666666665,-0.9166666666666666,77.91666666666667,20.125,rain
2015-02-01,2015,2,3,11305,0,1,0,3.7916666666666665,-0.8958333333333334,67,24.770833333333332,broken clouds
2015-02-02,2015,2,3,21640,1,0,0,1.25,-2.3958333333333335,64.85416666666667,12.625,clear
2015-02-03,2015,2,3,19869,1,0,0,2.1666666666666665,-1.0416666666666667,85.5,11.833333333333334,broken clouds
2015-02-04,2015,2,3,21850,1,0,0,2.875,-0.5208333333333334,80.6875,14.125,broken clouds
2015-02-05,2015,2,3,21200,1,0,0,2.8958333333333335,-0.9166666666666666,78.10416666666667,16.020833333333332,scattered clouds
2015-02-06,2015,2,3,20955,1,0,0,2.6875,-1.6666666666666667,69.85416666666667,19.270833333333332,scattered clouds
2015-02-07,2015,2,3,13149,0,1,0,3.75,1.0208333333333333,83.02083333333333,11.3125,broken clouds
2015-02-08,2015,2,3,15778,0,1,0,5.4375,3.1458333333333335,76.20833333333333,10.25,scattered clouds
2015-02-09,2015,2,3,23858,1,0,0,5.708333333333333,3.8541666666666665,81.4375,9.208333333333334,scattered clouds
2015-02-10,2015,2,3,23559,1,0,0,5.5,4.369565217391305,79.6086956521739,6.478260869565218,cloudy
2015-02-11,2015,2,3,23680,1,0,0,5.041666666666667,3.1666666666666665,77.4375,7.645833333333333,cloudy
2015-02-12,2015,2,3,23227,1,0,0,3.9791666666666665,2.375,73.125,7.208333333333333,cloudy
2015-02-13,2015,2,3,17699,1,0,0,6.979166666666667,4.020833333333333,84.54166666666667,17.8125,rain
2015-02-14,2015,2,3,14423,0,1,0,7.3125,5.104166666666667,88.6875,12.375,broken clouds
2015-02-15,2015,2,3,16952,0,1,0,6.6875,5.333333333333333,86.16666666666667,7.333333333333333,broken clouds
2015-02-16,2015,2,3,16381,1,0,0,6.041666666666667,4.0625,89.70833333333333,9.75,rain
2015-02-17,2015,2,3,25064,1,0,0,5.854166666666667,3.4791666666666665,68.70833333333333,12.1875,clear
2015-02-18,2015,2,3,25132,1,0,0,6.395833333333333,3.7291666666666665,71.27083333333333,15.166666666666666,clear
2015-02-19,2015,2,3,16898,1,0,0,7.270833333333333,3.8958333333333335,81.5,21.125,rain
2015-02-20,2015,2,3,20715,1,0,0,6.645833333333333,4.8125,81.33333333333333,9.416666666666666,scattered clouds
2015-02-21,2015,2,3,16198,0,1,0,4.8125,1.625,76.33333333333333,16.208333333333332,scattered clouds
2015-02-22,2015,2,3,9086,0,1,0,5.125,1.4166666666666667,80.91666666666667,21.25,clear
2015-02-23,2015,2,3,21764,1,0,0,6.9375,2.9375,66.85416666666667,25.875,scattered clouds
2015-02-24,2015,2,3,23688,1,0,0,7.1875,3.1458333333333335,66.14583333333333,27,scattered clouds
2015-02-25,2015,2,3,21592,1,0,0,9.083333333333334,7.666666666666667,77.3125,11.104166666666666,scattered clouds
2015-02-26,2015,2,3,20036,1,0,0,9.25,7.4375,81.72916666666667,16.916666666666668,rain
2015-02-27,2015,2,3,24367,1,0,0,5.9375,3.1041666666666665,66.27083333333333,14.3125,clear
2015-02-28,2015,2,3,13529,0,1,0,8.6875,5.75,83.58333333333333,23.083333333333332,broken clouds
2015-03-01,2015,3,0,15641,0,1,0,9.1875,6.416666666666667,66.6875,29.583333333333332,scattered clouds
2015-03-02,2015,3,0,22258,1,0,0,6.0625,1.7291666666666667,62.8125,28.3125,clear
2015-03-03,2015,3,0,23845,1,0,0,6.583333333333333,2.8541666666666665,64.1875,23.041666666666668,scattered clouds
2015-03-04,2015,3,0,24485,1,0,0,6.6875,3.2708333333333335,64.66666666666667,20.208333333333332,clear
2015-03-05,2015,3,0,24896,1,0,0,7.5,5.208333333333333,65.27083333333333,16.6875,clear
2015-03-06,2015,3,0,25337,1,0,0,9.104166666666666,7.1875,63.291666666666664,17.520833333333332,clear
2015-03-07,2015,3,0,27365,0,1,0,11.041666666666666,9.645833333333334,64.3125,18.395833333333332,clear
2015-03-08,2015,3,0,20017,0,1,0,10.041666666666666,9.041666666666666,78.85416666666667,14.229166666666666,scattered clouds
2015-03-09,2015,3,0,24037,1,0,0,8.354166666666666,6.416666666666667,82.83333333333333,14.3125,broken clouds
2015-03-10,2015,3,0,27674,1,0,0,8.916666666666666,7.395833333333333,65.45833333333333,10.625,clear
2015-03-11,2015,3,0,27419,1,0,0,8.75,7.604166666666667,73.72916666666667,11.229166666666666,clear
2015-03-12,2015,3,0,28131,1,0,0,10,8.958333333333334,56.208333333333336,13.583333333333334,clear
2015-03-13,2015,3,0,25700,1,0,0,8.5,6.625,61.270833333333336,17.770833333333332,clear
2015-03-14,2015,3,0,18101,0,1,0,6.145833333333333,2.9583333333333335,66.97916666666667,17.958333333333332,cloudy
2015-03-15,2015,3,0,10662,0,1,0,6.3125,3.3125,82.20833333333333,16.3125,rain
2015-03-16,2015,3,0,19824,1,0,0,7,4.520833333333333,81.77083333333333,13.6875,broken clouds
2015-03-17,2015,3,0,25780,1,0,0,8.479166666666666,7.166666666666667,85.875,10.208333333333334,scattered clouds
2015-03-18,2015,3,0,26439,1,0,0,6.895833333333333,4.583333333333333,80.0625,12.208333333333334,broken clouds
2015-03-19,2015,3,0,24077,1,0,0,7.25,4.541666666666667,79.14583333333333,15.083333333333334,cloudy
2015-03-20,2015,3,0,25226,1,0,0,7.541666666666667,5.833333333333333,75.47916666666667,9.854166666666666,clear
2015-03-21,2015,3,0,16116,0,1,0,7.625,4.895833333333333,72.04166666666667,16.479166666666668,broken clouds
2015-03-22,2015,3,0,18618,0,1,0,5.854166666666667,3.3333333333333335,67.72916666666667,12.395833333333334,broken clouds
2015-03-23,2015,3,0,25592,1,0,0,8,6.479166666666667,66.16666666666667,11.916666666666666,scattered clouds
2015-03-24,2015,3,0,24083,1,0,0,7.541666666666667,5.916666666666667,69.8125,9.354166666666666,rain
2015-03-25,2015,3,0,25672,1,0,0,6.208333333333333,4.645833333333333,67.08333333333333,7.9375,clear
2015-03-26,2015,3,0,20305,1,0,0,8.416666666666666,6.1875,70.375,20.833333333333332,clear
2015-03-27,2015,3,0,26348,1,0,0,8.833333333333334,6.916666666666667,60.5,15.729166666666666,clear
2015-03-28,2015,3,0,18986,0,1,0,11.5625,11.145833333333334,80.125,22.895833333333332,broken clouds
2015-03-29,2015,3,0,8592,0,1,0,11.304347826086957,10.08695652173913,77.44565217391305,30.77173913043478,rain
2015-03-30,2015,3,0,22106,1,0,0,9.625,7.395833333333333,64.5625,26.333333333333332,scattered clouds
2015-03-31,2015,3,0,22602,1,0,0,10.85,9.7,55.15,41.9,rain
2015-04-01,2015,4,0,23539,1,0,0,8.5,4.9375,59.854166666666664,31.708333333333332,scattered clouds
2015-04-02,2015,4,0,22682,1,0,0,9.0625,7.125,66.35416666666667,14.8125,clear
2015-04-03,2015,4,0,11298,0,0,1,9.395833333333334,8.583333333333334,88.08333333333333,7.916666666666667,rain
2015-04-04,2015,4,0,12864,0,1,0,8.869565217391305,7.021739130434782,77.69565217391305,12.26086956521739,broken clouds
2015-04-05,2015,4,0,19369,0,1,0,8.791666666666666,8.270833333333334,71.125,7.020833333333333,broken clouds
2015-04-06,2015,4,0,25439,0,0,1,9.25,7.770833333333333,73.58333333333333,13.354166666666666,broken clouds
2015-04-07,2015,4,0,29441,1,0,0,11.083333333333334,10.916666666666666,68.0625,6.604166666666667,clear
2015-04-08,2015,4,0,30643,1,0,0,11.75,11.375,73.95833333333333,11.020833333333334,clear
2015-04-09,2015,4,0,31520,1,0,0,10.5,9.5625,79.3125,10.5625,clear
2015-04-10,2015,4,0,32052,1,0,0,13.041666666666666,12.541666666666666,68,11.916666666666666,clear
2015-04-11,2015,4,0,25113,0,1,0,11.625,11.125,58.916666666666664,21.6875,clear
2015-04-12,2015,4,0,29204,0,1,0,11.791666666666666,10.916666666666666,58.645833333333336,20.208333333333332,clear
2015-04-13,2015,4,0,28048,1,0,0,11.604166666666666,11.166666666666666,68.77083333333333,9.729166666666666,broken clouds
2015-04-14,2015,4,0,34519,1,0,0,15.645833333333334,14.895833333333334,60.770833333333336,17.166666666666668,clear
2015-04-15,2015,4,0,37470,1,0,0,17.541666666666668,17.208333333333332,51.895833333333336,14.0625,clear
2015-04-16,2015,4,0,30489,1,0,0,11.6875,10.895833333333334,66.95833333333333,19.625,clear
2015-04-17,2015,4,0,29796,1,0,0,10.583333333333334,8.916666666666666,63.625,23.645833333333332,clear
2015-04-18,2015,4,0,29595,0,1,0,9.645833333333334,8.145833333333334,63.875,22.583333333333332,scattered clouds
2015-04-19,2015,4,0,19736,0,1,0,8.416666666666666,6.666666666666667,67.8125,11.604166666666666,broken clouds
2015-04-20,2015,4,0,32057,1,0,0,11.0625,10.4375,64.4375,13.854166666666666,clear
2015-04-21,2015,4,0,34908,1,0,0,11.375,10.854166666666666,61.604166666666664,12.75,clear
2015-04-22,2015,4,0,32381,1,0,0,10.395833333333334,9.479166666666666,72.47916666666667,16.854166666666668,clear
2015-04-23,2015,4,0,32773,1,0,0,10.395833333333334,9.020833333333334,71.66666666666667,13.208333333333334,clear
2015-04-24,2015,4,0,32102,1,0,0,13.020833333333334,12.6875,68.64583333333333,14.166666666666666,clear
2015-04-25,2015,4,0,25194,0,1,0,14.145833333333334,14.145833333333334,75.14583333333333,18.395833333333332,rain
2015-04-26,2015,4,0,19427,0,1,0,9.645833333333334,8.291666666666666,83.33333333333333,11.1875,broken clouds
2015-04-27,2015,4,0,30489,1,0,0,9.270833333333334,8.375,55.583333333333336,10.479166666666666,clear
2015-04-28,2015,4,0,31783,1,0,0,9.708333333333334,7.875,53.479166666666664,23.041666666666668,clear
2015-04-29,2015,4,0,26030,1,0,0,9.854166666666666,8,71.3125,18.645833333333332,clear
2015-04-30,2015,4,0,31621,1,0,0,10.75,9.4375,57.75,18.291666666666668,clear
2015-05-01,2015,5,0,29579,1,0,0,9.083333333333334,7.229166666666667,64.25,18.875,scattered clouds
2015-05-02,2015,5,0,22231,0,1,0,9.75,8.4375,74.52083333333333,21.0625,clear
2015-05-03,2015,5,0,21165,0,1,0,14.5625,14.5,80.375,21.75,broken clouds
2015-05-04,2015,5,0,26795,0,0,1,14.604166666666666,14.604166666666666,67.20833333333333,18.8125,scattered clouds
2015-05-05,2015,5,0,26488,1,0,0,14.645833333333334,14.645833333333334,69.35416666666667,31.041666666666668,scattered clouds
2015-05-06,2015,5,0,24438,1,0,0,12.5,12.25,70.54166666666667,32.166666666666664,rain
2015-05-07,2015,5,0,31144,1,0,0,13.166666666666666,13.104166666666666,62.3125,19.625,scattered clouds
2015-05-08,2015,5,0,26878,1,0,0,13.083333333333334,12.979166666666666,71.16666666666667,12.104166666666666,clear
2015-05-09,2015,5,0,27810,0,1,0,14.8125,14.8125,59.395833333333336,26.270833333333332,broken clouds
2015-05-10,2015,5,0,32226,0,1,0,14.770833333333334,14.645833333333334,66.58333333333333,13.6875,scattered clouds
2015-05-11,2015,5,0,33719,1,0,0,17.333333333333332,17.333333333333332,64.52083333333333,17.25,clear
2015-05-12,2015,5,0,33820,1,0,0,14.5625,14.5625,53.416666666666664,23.229166666666668,clear
2015-05-13,2015,5,0,36699,1,0,0,13.75,13.354166666666666,56.479166666666664,11.666666666666666,clear
2015-05-14,2015,5,0,15609,1,0,0,9.895833333333334,7.895833333333333,84.95833333333333,21.375,rain
2015-05-15,2015,5,0,32343,1,0,0,11.791666666666666,11.020833333333334,69.54166666666667,14.0625,scattered clouds
2015-05-16,2015,5,0,32526,0,1,0,15.145833333333334,15.145833333333334,59.875,19.916666666666668,clear
2015-05-17,2015,5,0,31323,0,1,0,13.583333333333334,13.25,56.395833333333336,17.166666666666668,clear
2015-05-18,2015,5,0,24288,1,0,0,12.416666666666666,11.979166666666666,68.29166666666667,25.104166666666668,scattered clouds
2015-05-19,2015,5,0,28331,1,0,0,10.916666666666666,9.5,63.125,24.270833333333332,scattered clouds
2015-05-20,2015,5,0,30534,1,0,0,11.520833333333334,10.458333333333334,61.1875,18.6875,clear
2015-05-21,2015,5,0,34833,1,0,0,14.625,14.020833333333334,53.020833333333336,15.75,clear
2015-05-22,2015,5,0,33435,1,0,0,15.6875,15.395833333333334,65.70833333333333,13.666666666666666,clear
2015-05-23,2015,5,0,23849,0,1,0,14.666666666666666,14.666666666666666,68.9375,15.020833333333334,broken clouds
2015-05-24,2015,5,0,30018,0,1,0,15.791666666666666,15.791666666666666,64.3125,11.479166666666666,broken clouds
2015-05-25,2015,5,0,29502,0,0,1,13.75,13.75,60.875,13.604166666666666,scattered clouds
2015-05-26,2015,5,0,34809,1,0,0,14.916666666666666,14.916666666666666,60.0625,14.604166666666666,clear
2015-05-27,2015,5,0,36407,1,0,0,14.791666666666666,14.541666666666666,56.416666666666664,16.6875,clear
2015-05-28,2015,5,0,34387,1,0,0,15.041666666666666,15.041666666666666,49.9375,23.208333333333332,clear
2015-05-29,2015,5,0,26023,1,0,0,12.375,12.375,64.04166666666667,22.208333333333332,scattered clouds
2015-05-30,2015,5,0,29206,0,1,0,13.083333333333334,12.416666666666666,57.770833333333336,17.833333333333332,clear
2015-05-31,2015,5,0,14998,0,1,0,13.854166666666666,13.854166666666666,72.875,22.333333333333332,rain
2015-06-01,2015,6,1,27864,1,0,0,12.104166666666666,11.4375,62.833333333333336,23.645833333333332,scattered clouds
2015-06-02,2015,6,1,27939,1,0,0,15.666666666666666,15.666666666666666,75.02083333333333,33.520833333333336,broken clouds
2015-06-03,2015,6,1,35377,1,0,0,16.125,16.125,53.0625,17.583333333333332,clear
2015-06-04,2015,6,1,39451,1,0,0,17,16.833333333333332,56.333333333333336,12.854166666666666,clear
2015-06-05,2015,6,1,34563,1,0,0,19.833333333333332,19.833333333333332,63.5,19.452380952380953,clear
2015-06-06,2015,6,1,32820,0,1,0,15.270833333333334,15.229166666666666,51.1875,23.791666666666668,clear
2015-06-07,2015,6,1,35407,0,1,0,15,14.916666666666666,55.979166666666664,12.520833333333334,clear
2015-06-08,2015,6,1,32587,1,0,0,13.604166666666666,13.541666666666666,63.854166666666664,13.541666666666666,clear
2015-06-09,2015,6,1,33255,1,0,0,12.041666666666666,11.3125,59.1875,21.020833333333332,scattered clouds
2015-06-10,2015,6,1,35707,1,0,0,13.979166666666666,13.8125,57.833333333333336,21.958333333333332,scattered clouds
2015-06-11,2015,6,1,38808,1,0,0,16.8125,16.6875,63.104166666666664,20.416666666666668,clear
2015-06-12,2015,6,1,35172,1,0,0,18.75,18.75,69.58333333333333,12.208333333333334,clear
2015-06-13,2015,6,1,30298,0,1,0,17.458333333333332,17.458333333333332,77.35416666666667,18.333333333333332,cloudy
2015-06-14,2015,6,1,25235,0,1,0,14.854166666666666,14.854166666666666,78.5,13.145833333333334,broken clouds
2015-06-15,2015,6,1,34558,1,0,0,14.270833333333334,14.270833333333334,64.70833333333333,16.875,scattered clouds
2015-06-16,2015,6,1,37923,1,0,0,17.041666666666668,16.895833333333332,58.541666666666664,8.125,clear
2015-06-17,2015,6,1,38591,1,0,0,19.645833333333332,19.645833333333332,65.54166666666667,21.916666666666668,clear
2015-06-18,2015,6,1,38687,1,0,0,17.875,17.875,57.25,18.083333333333332,clear
2015-06-19,2015,6,1,35966,1,0,0,16.354166666666668,16.354166666666668,58.541666666666664,16.020833333333332,scattered clouds
2015-06-20,2015,6,1,26295,0,1,0,16.645833333333332,16.645833333333332,74.8125,9.75,broken clouds
2015-06-21,2015,6,1,30393,0,1,0,17.458333333333332,17.458333333333332,62.6875,23.041666666666668,broken clouds
2015-06-22,2015,6,1,29557,1,0,0,14.6875,14.6875,70.85416666666667,20.916666666666668,scattered clouds
2015-06-23,2015,6,1,37472,1,0,0,15.8125,15.8125,60.4375,14.104166666666666,broken clouds
2015-06-24,2015,6,1,38940,1,0,0,18.625,18.4375,57.208333333333336,16.083333333333332,clear
2015-06-25,2015,6,1,38673,1,0,0,19.645833333333332,19.583333333333332,56.979166666666664,13.541666666666666,clear
2015-06-26,2015,6,1,37019,1,0,0,20.604166666666668,20.604166666666668,55.25,15.916666666666666,clear
2015-06-27,2015,6,1,36581,0,1,0,19.541666666666668,19.208333333333332,57.354166666666664,17,clear
2015-06-28,2015,6,1,25706,0,1,0,19.125,19.125,64.25,15.333333333333334,scattered clouds
2015-06-29,2015,6,1,39082,1,0,0,20.583333333333332,20.458333333333332,54.645833333333336,13.416666666666666,clear
2015-06-30,2015,6,1,43326,1,0,0,22.375,22,50.354166666666664,14.895833333333334,clear
2015-07-01,2015,7,1,42641,1,0,0,27.375,27.4375,50.979166666666664,17.3125,clear
2015-07-02,2015,7,1,38262,1,0,0,22.291666666666668,22.291666666666668,64.5625,15.208333333333334,clear
2015-07-03,2015,7,1,39611,1,0,0,19.916666666666668,19.875,63.666666666666664,17.458333333333332,clear
